"DateTime","Final price","Historical Low"
"2021-11-04 14:05:15",59.99,59.99
"2022-02-24 23:05:02",0,
"2022-02-24 23:10:02",59.99,59.99
"2022-12-22 18:12:23",41.99,41.99
"2023-01-05 18:25:15",59.99,41.99
"2023-06-29 17:19:00",41.99,41.99
"2023-07-13 17:24:58",59.99,41.99
"2023-10-05 17:03:07",39.59,39.59
"2023-10-19 17:02:48",59.99,39.59
"2023-12-21 18:11:28",35.99,35.99
"2024-01-04 18:31:59",59.99,35.99
"2024-06-27 17:53:50",41.99,35.99
"2024-07-11 17:30:24",59.99,35.99
"2024-09-19 17:02:32",41.99,35.99
"2024-09-26 17:02:26",59.99,35.99
"2024-12-19 20:30:22",35.99,35.99
"2025-01-02 19:01:23",59.99,35.99
"2025-03-13 17:16:10",35.99,35.99
"2025-03-20 18:01:09",59.99,35.99
"2025-06-26 17:38:27",35.99,35.99
"2025-06-26 19:57:43",35.99,35.99
"2025-07-10 17:11:07",59.99,35.99
"2025-12-09 19:18:21",59.99,35.99
"2025-12-09 19:18:21",,35.99
